,Year,"HIV DIAGNOSES PER 100,000 POPULATION",PEOPLE WITH HIV AS PERCENT OF POPULATION,"AGE-ADJUSTED DEATH RATE PER 1,000 PEOPLE WITH HIV",2014 NEW YORK CITY POPULATION
TOTAL,2014,31.7,1.5,10.2,"8,521,135"
BRONX,2014,34.0,1.9,12.2,"1,446,037"
Crotona - Tremont,2014,47.6,2.6,13.4,"216,431"
Fordham - Bronx Park,2014,38.7,2.1,10.9,"261,186"
High Bridge - Morrisania,2014,42.7,2.7,13.5,"218,024"
Hunts Point - Mott Haven,2014,46.0,2.6,15.4,"143,626"
Kingsbridge - Riverdale,2014,16.0,0.7,11.9,"93,834"
Northeast Bronx,2014,26.0,1.2,12.0,"203,951"
Pelham - Throgs Neck,2014,19.4,1.4,8.1,"308,984"
BROOKLYN,2014,27.4,1.1,9.9,"2,626,644"
Bedford Stuyvesant - Crown Heights,2014,48.9,2.2,11.3,"335,171"
Bensonhurst - Bay Ridge,2014,7.2,0.3,12.1,"207,692"
Borough Park,2014,8.2,0.3,9.9,"342,964"
Canarsie - Flatlands,2014,28.1,0.8,9.2,"209,812"
Coney Island - Sheepshead Bay,2014,13.5,0.4,12.0,"288,434"
Downtown - Heights - Park Slope,2014,25.7,1.1,8.5,"252,449"
East Flatbush - Flatbush,2014,39.4,1.7,7.7,"307,258"
East New York,2014,55.7,1.7,14.2,"190,189"
Greenpoint,2014,13.2,0.6,3.2*,"136,536"
Sunset Park,2014,9.9,0.6,5.6*,"130,892"
Williamsburg - Bushwick,2014,40.8,1.7,10.4,"225,248"
MANHATTAN,2014,37.6,1.9,6.5,"1,630,958"
Central Harlem - Morningside Heights,2014,63.0,2.6,8.1,"180,988"
Chelsea - Clinton,2014,83.6,4.3,4.4,"154,263"
East Harlem,2014,53.5,2.6,16.3,"114,029"
Gramercy Park - Murray Hill,2014,33.8,1.5,3.8,"130,002"
Greenwich Village - Soho,2014,28.6,2.3,1.8*,"83,843"
Lower Manhattan,2014,20.2,1.0,2.8*,"59,385"
Union Square - Lower East Side,2014,31.9,1.6,8.2,"194,069"
Upper East Side,2014,10.8,0.6,4.7,"222,221"
Upper West Side,2014,20.6,1.4,7.5,"218,858"
Washington Heights - Inwood,2014,32.9,1.6,4.6,"273,300"
QUEENS,2014,19.2,0.7,7.3,"2,338,993"
Bayside - Little Neck,2014,5.6*,0.2,7.9*,"89,958"
Flushing - Clearview,2014,5.8,0.2,16.1,"258,614"
Fresh Meadows,2014,6.9*,0.3,17.9*,"101,344"
Jamaica,2014,21.6,1.0,11.0,"319,684"
Long Island City - Astoria,2014,30.3,0.9,3.5*,"214,495"
Ridgewood - Forest Hills,2014,14.0,0.5,3.9*,"256,538"
Rockaway,2014,24.0,0.9,12.4,"124,917"
Southeast Queens,2014,14.8,0.6,6.9,"209,287"
Southwest Queens,2014,16.4,0.6,5.6,"292,628"
West Queens,2014,29.9,1.2,4.9,"471,528"
STATEN ISLAND,2014,12.0,0.5,17.3,"474,166"
Port Richmond,2014,20.9,0.9,19.1,"66,951"
South Beach - Tottenville,2014,9.7,0.2,18.6*,"195,662"
Stapleton - St. George,2014,12.2,0.9,17.9,"123,343"
Willowbrook,2014,10.2*,0.2,12.6*,"88,210"